Rank,amfi_code,fund_house,scheme_name,category,expense_ratio_pct,risk_category,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,max_drawdown_pct,peak_date,trough_date,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_mdd,composite_score
14,119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.66,Moderate,8.25,15.38,20.68,0.9533,1.6098,19.87,-0.03,0.0006,-11.8,2024-05-21,2024-09-02,45.0,72.5,65.0,92.5,27.500000000000004,61.2
15,118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,0.72,Moderate,28.41,18.13,15.65,0.6452,1.1545,15.64,-0.04,0.0011,-18.63,2023-10-30,2024-02-29,62.5,50.0,47.5,88.75,65.0,60.6
16,125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.92,Moderate,29.35,17.71,18.28,0.7758,1.3307,17.73,0.05,0.0018,-15.2,2023-12-22,2025-01-01,57.49999999999999,57.49999999999999,62.5,67.5,45.0,58.7
17,120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,1.41,Moderately High,32.9,18.25,16.42,0.6489,1.0959,16.25,0.04,0.0013,-19.83,2023-03-31,2023-08-14,65.0,52.5,52.5,55.00000000000001,67.5,58.1
18,119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,0.75,Moderate,19.79,20.58,7.6,0.1296,0.2211,8.23,0.03,0.0006,-21.75,2022-02-24,2023-05-22,67.5,30.0,32.5,82.5,77.5,54.4
19,102887,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,1.64,Moderately High,12.73,25.66,16.19,0.6195,1.0888,16.21,0.02,0.0002,-21.54,2022-01-03,2022-07-04,78.75,47.5,50.0,3.75,75.0,53.6
20,148568,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,1.52,Moderately High,10.5,13.08,21.63,0.9263,1.6327,20.87,-0.03,0.0005,-15.27,2023-09-05,2024-01-24,40.0,65.0,67.5,36.25,47.5,51.9
21,120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,1.42,Moderate,4.81,14.8,18.05,0.798,1.3379,17.7,-0.04,0.0014,-13.9,2023-09-19,2023-11-09,42.5,60.0,60.0,52.5,35.0,51.1
22,118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,0.89,Moderate,22.0,16.24,15.34,0.6649,1.138,15.14,-0.0,0.0,-11.65,2022-01-03,2022-06-09,47.5,55.00000000000001,45.0,70.0,25.0,50.0
23,102885,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,1.57,Moderate,18.32,17.52,17.52,0.8171,1.4357,17.05,-0.02,0.0004,-10.86,2022-02-03,2022-03-29,55.00000000000001,62.5,55.00000000000001,17.5,17.5,47.5
24,125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.78,High,16.67,12.49,10.87,0.3006,0.5088,11.99,0.01,0.0,-21.12,2025-04-04,2025-09-12,37.5,35.0,37.5,77.5,72.5,46.4
25,118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,1.53,Very High,22.37,7.58,15.74,0.4484,0.746,17.5,0.1,0.0028,-23.34,2025-04-09,2026-02-20,32.5,37.5,57.49999999999999,31.25,80.0,43.3
26,120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,1.59,Moderate,18.16,16.68,13.02,0.4943,0.8626,13.04,0.04,0.0012,-17.57,2024-01-09,2025-02-14,52.5,42.5,40.0,15.0,60.0,42.6
27,149322,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,1.54,Moderate,19.13,16.53,12.88,0.464,0.7621,13.17,-0.0,0.0,-14.84,2022-01-03,2022-02-04,50.0,40.0,42.5,26.25,40.0,41.4
28,120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.74,Low,7.01,7.05,6.97,0.4957,1.0521,6.75,-0.0,0.0001,-0.1,2025-10-16,2025-10-20,30.0,45.0,25.0,85.0,2.5,38.2
29,120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,1.56,High,18.61,10.04,6.45,0.076,0.1247,7.8,0.02,0.0002,-24.0,2023-11-09,2024-10-17,35.0,27.500000000000004,30.0,20.0,82.5,34.6
30,119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.72,Very High,11.91,-0.69,1.98,-0.0572,-0.0944,4.88,0.06,0.001,-52.57,2023-01-17,2025-10-28,10.0,22.5,12.5,88.75,100.0,34.4
31,120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,0.6,Low,6.84,6.54,6.66,-0.0887,-0.1877,6.46,-0.0,0.0001,-0.12,2024-04-12,2024-04-30,27.500000000000004,17.5,22.5,95.0,5.0,31.9
32,101207,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,1.53,Very High,-24.24,-2.7,7.64,0.1627,0.2766,10.9,-0.07,0.0011,-35.45,2024-11-21,2026-05-11,5.0,32.5,35.0,31.25,95.0,30.8
33,118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.55,Low,10.62,4.15,5.12,-0.3566,-0.6135,5.07,0.0,0.0,-8.32,2023-02-09,2024-02-09,17.5,7.5,15.0,100.0,15.0,26.6
34,119095,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,1.38,Very High,-45.42,-11.07,1.47,-0.076,-0.1282,4.8,-0.07,0.0012,-51.68,2025-05-22,2026-05-11,2.5,20.0,10.0,60.0,97.5,26.5
35,119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.77,Low,5.72,5.61,5.67,-0.2266,-0.3768,5.62,-0.01,0.0004,-4.33,2024-09-16,2025-04-01,22.5,10.0,17.5,80.0,12.5,26.0
36,100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.56,Low,2.5,4.61,4.29,-0.5671,-0.9418,4.28,0.0,0.0,-4.31,2023-05-23,2023-07-28,20.0,5.0,7.5,97.5,10.0,24.4
37,101208,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,0.79,Low,6.85,6.08,6.27,-0.8156,-1.681,6.09,0.0,0.0,-0.16,2023-09-05,2023-09-12,25.0,2.5,20.0,75.0,7.5,24.1
38,102886,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,1.51,High,-13.23,-1.83,1.13,-0.2058,-0.3472,2.9,-0.04,0.0009,-28.0,2025-01-07,2026-04-27,7.5,12.5,2.5,41.25,87.5,20.8
39,119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,1.64,Moderate,3.4,0.56,6.13,0.0308,0.0526,6.9,0.01,0.0001,-14.4,2023-10-12,2025-02-07,15.0,25.0,27.500000000000004,3.75,37.5,20.6
40,100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,1.55,Moderate,-3.31,-0.03,2.54,-0.2015,-0.351,3.75,-0.06,0.0027,-24.73,2022-03-30,2022-09-15,12.5,15.0,5.0,22.5,85.0,20.4
