investor_id,total_transactions,avg_gap_days,max_gap_days,risk_flag
INV000337,7,69.0,192,at-risk
INV000339,10,57.1,180,at-risk
INV000340,6,25.6,60,at-risk
INV000341,11,46.1,191,at-risk
INV000344,10,41.2,155,at-risk
INV000346,6,52.8,111,at-risk
INV000349,11,45.2,103,at-risk
INV000351,8,49.6,142,at-risk
INV000352,6,64.6,215,at-risk
INV000354,7,78.2,120,at-risk
INV000356,8,38.9,157,at-risk
INV000359,10,48.1,112,at-risk
INV000360,9,61.1,124,at-risk
INV000361,6,46.0,108,at-risk
INV000363,8,66.0,141,at-risk
INV000366,8,35.1,150,at-risk
INV000369,8,37.7,112,at-risk
INV000370,6,93.4,257,at-risk
INV000371,11,41.5,147,at-risk
INV000372,10,42.9,121,at-risk
INV000374,8,55.9,173,at-risk
INV000377,8,61.4,202,at-risk
INV000378,6,47.0,88,at-risk
INV000380,7,80.8,191,at-risk
INV000383,10,52.3,127,at-risk
INV000384,7,57.8,110,at-risk
INV000387,9,48.0,108,at-risk
INV000388,10,47.7,97,at-risk
INV000389,6,95.0,220,at-risk
INV000390,8,52.4,79,at-risk
INV000392,12,42.7,144,at-risk
INV000393,7,75.3,156,at-risk
INV000394,11,44.1,174,at-risk
INV000395,9,51.5,119,at-risk
INV000396,12,44.6,95,at-risk
INV000397,6,87.2,205,at-risk
INV000399,11,44.6,68,at-risk
INV000400,10,34.8,82,at-risk
INV000402,7,47.0,121,at-risk
INV000403,11,43.2,120,at-risk
INV000407,8,66.7,157,at-risk
INV000408,7,55.5,125,at-risk
INV000410,8,56.3,152,at-risk
INV000411,6,57.4,101,at-risk
INV000412,9,38.2,69,at-risk
INV000413,10,51.6,159,at-risk
INV000414,11,46.4,219,at-risk
INV000415,10,52.7,128,at-risk
INV000417,7,52.2,157,at-risk
INV000418,9,55.6,126,at-risk
INV000421,7,80.2,202,at-risk
INV000425,7,56.3,215,at-risk
INV000427,11,41.1,82,at-risk
INV000428,11,48.1,154,at-risk
INV000429,8,55.6,171,at-risk
INV000430,6,94.6,264,at-risk
INV000431,8,59.3,98,at-risk
INV000432,7,78.3,195,at-risk
INV000436,6,58.4,170,at-risk
INV000437,9,61.1,277,at-risk
INV000439,12,34.5,68,at-risk
INV000440,12,44.8,116,at-risk
INV000441,8,60.7,151,at-risk
INV000444,11,36.6,97,at-risk
INV000445,11,46.2,104,at-risk
INV000446,10,40.9,95,at-risk
INV000449,8,69.7,142,at-risk
INV000452,12,35.9,93,at-risk
INV000453,8,42.0,108,at-risk
INV000454,6,93.0,291,at-risk
INV000456,6,47.4,75,at-risk
INV000457,12,41.5,151,at-risk
INV000458,12,42.0,92,at-risk
INV000460,12,43.1,227,at-risk
INV000463,10,43.4,76,at-risk
INV000466,10,48.9,135,at-risk
INV000467,10,56.7,272,at-risk
INV000469,12,38.5,104,at-risk
INV000473,8,49.6,190,at-risk
INV000477,10,44.7,93,at-risk
INV000480,9,56.6,164,at-risk
INV000481,10,52.1,117,at-risk
INV000482,10,47.0,202,at-risk
INV000483,11,49.3,216,at-risk
INV000485,6,85.8,270,at-risk
INV000487,7,76.5,121,at-risk
INV000488,7,75.2,203,at-risk
INV000491,12,43.2,136,at-risk
INV000492,7,74.3,143,at-risk
INV000493,12,38.9,178,at-risk
INV000494,7,55.2,162,at-risk
INV000495,12,38.5,142,at-risk
INV000496,7,54.2,167,at-risk
INV000497,10,54.2,176,at-risk
INV000499,9,58.4,126,at-risk
INV000500,8,52.9,119,at-risk
INV000505,6,82.0,120,at-risk
INV000507,9,56.4,136,at-risk
INV000511,8,62.6,206,at-risk
INV000512,12,42.5,112,at-risk
INV000514,8,43.1,135,at-risk
INV000519,6,74.2,149,at-risk
INV000520,6,68.2,156,at-risk
INV000521,9,43.2,73,at-risk
INV000522,12,45.8,87,at-risk
INV000523,10,53.1,206,at-risk
INV000524,10,41.2,91,at-risk
INV000525,8,49.1,126,at-risk
INV000526,10,44.3,107,at-risk
INV000527,11,50.2,148,at-risk
INV000529,11,41.3,117,at-risk
INV000531,11,28.4,82,at-risk
INV000532,11,48.3,89,at-risk
INV000533,8,65.7,225,at-risk
INV000535,6,97.4,263,at-risk
INV000539,9,57.8,153,at-risk
INV000540,11,48.4,123,at-risk
INV000543,8,71.7,170,at-risk
INV000544,8,62.3,152,at-risk
INV000545,10,50.7,107,at-risk
INV000546,12,40.0,140,at-risk
INV000547,12,43.7,157,at-risk
INV000548,8,67.3,186,at-risk
INV000549,10,53.4,146,at-risk
INV000552,10,55.1,95,at-risk
INV000553,7,60.0,172,at-risk
INV000554,10,39.0,102,at-risk
INV000556,11,41.3,147,at-risk
INV000557,6,88.0,294,at-risk
INV000558,8,61.4,171,at-risk
INV000562,7,62.0,197,at-risk
INV000563,12,41.6,95,at-risk
INV000566,12,39.6,122,at-risk
INV000567,12,40.5,121,at-risk
INV000568,9,39.0,99,at-risk
INV000569,12,42.2,88,at-risk
INV000570,11,47.1,93,at-risk
INV000573,12,27.7,93,at-risk
INV000575,8,52.7,155,at-risk
INV000576,9,52.8,190,at-risk
INV000577,11,43.4,169,at-risk
INV000578,12,45.8,113,at-risk
INV000580,9,49.2,92,at-risk
INV000581,12,42.7,128,at-risk
INV000583,9,51.8,133,at-risk
INV000584,8,63.9,153,at-risk
INV000585,9,61.1,130,at-risk
INV000586,12,44.5,223,at-risk
INV000587,12,33.8,112,at-risk
INV000589,11,47.3,90,at-risk
INV000591,8,55.3,112,at-risk
INV000593,11,43.8,86,at-risk
INV000595,10,53.4,106,at-risk
INV000596,12,43.3,101,at-risk
INV000597,8,63.3,142,at-risk
INV000598,6,93.6,170,at-risk
INV000599,10,54.3,158,at-risk
INV000600,6,88.8,156,at-risk
INV000601,10,32.7,97,at-risk
INV000602,10,45.8,128,at-risk
INV000604,10,42.6,75,at-risk
INV000606,12,38.3,148,at-risk
INV000607,10,50.2,145,at-risk
INV000608,7,83.5,241,at-risk
INV000609,12,26.1,77,at-risk
INV000611,6,69.2,121,at-risk
INV000612,12,44.8,169,at-risk
INV000614,7,26.0,65,at-risk
INV000615,9,46.1,139,at-risk
INV000616,9,61.5,185,at-risk
INV000619,9,26.0,73,at-risk
INV000621,10,47.1,105,at-risk
INV000623,10,48.4,143,at-risk
INV000624,9,43.8,145,at-risk
INV000625,12,41.5,91,at-risk
INV000626,6,73.4,134,at-risk
INV000629,6,75.6,276,at-risk
INV000630,9,54.2,142,at-risk
INV000631,9,41.4,82,at-risk
INV000633,6,86.2,120,at-risk
INV000634,11,41.8,90,at-risk
INV000635,8,53.6,221,at-risk
INV000636,6,54.4,160,at-risk
INV000637,6,64.2,154,at-risk
INV000638,8,71.0,138,at-risk
INV000639,11,50.8,129,at-risk
INV000641,8,44.9,126,at-risk
INV000642,11,50.2,139,at-risk
INV000643,7,51.5,127,at-risk
INV000644,6,69.4,313,at-risk
INV000645,12,30.0,88,at-risk
INV000646,12,37.6,96,at-risk
INV000649,10,52.2,230,at-risk
INV000651,8,70.9,280,at-risk
INV000652,12,43.4,154,at-risk
INV000654,6,91.4,166,at-risk
INV000656,7,62.3,116,at-risk
INV000657,10,50.3,95,at-risk
INV000658,9,47.4,153,at-risk
INV000660,6,42.0,99,at-risk
INV000661,8,60.4,106,at-risk
INV000662,11,46.3,113,at-risk
INV000663,6,94.4,247,at-risk
INV000664,8,46.7,149,at-risk
INV000665,12,29.6,79,at-risk
INV000666,7,62.2,170,at-risk
INV000667,12,43.5,135,at-risk
INV000671,12,38.7,118,at-risk
INV000673,6,92.8,235,at-risk
INV000675,12,36.6,111,at-risk
INV000676,12,32.1,61,at-risk
INV000678,11,38.0,77,at-risk
INV000682,6,96.6,232,at-risk
INV000683,11,50.6,137,at-risk
INV000689,8,46.7,110,at-risk
INV000690,12,45.9,116,at-risk
INV000691,10,52.9,131,at-risk
INV000693,10,44.3,116,at-risk
INV000694,7,82.5,184,at-risk
INV000695,8,63.3,110,at-risk
INV000698,12,38.0,101,at-risk
INV000699,8,36.4,90,at-risk
INV000701,11,50.2,230,at-risk
INV000703,7,84.0,177,at-risk
INV000704,9,50.6,183,at-risk
INV000706,9,54.5,116,at-risk
INV000707,10,45.0,130,at-risk
INV000708,8,66.0,182,at-risk
INV000709,12,39.5,100,at-risk
INV000710,7,73.8,143,at-risk
INV000711,8,60.0,160,at-risk
INV000714,12,26.9,95,at-risk
INV000715,7,55.3,107,at-risk
INV000717,7,77.7,232,at-risk
INV000718,10,38.6,79,at-risk
INV000719,12,40.7,129,at-risk
INV000720,8,70.7,134,at-risk
INV000721,7,78.0,210,at-risk
INV000722,9,52.1,164,at-risk
INV000723,6,86.6,323,at-risk
INV000724,9,50.8,209,at-risk
INV000725,8,58.0,92,at-risk
INV000726,7,69.5,165,at-risk
INV000728,9,39.1,113,at-risk
INV000732,10,42.3,130,at-risk
INV000733,7,74.5,189,at-risk
INV000734,11,46.3,180,at-risk
INV000735,8,61.4,264,at-risk
INV000736,10,44.3,132,at-risk
INV000737,8,66.1,124,at-risk
INV000738,8,49.6,163,at-risk
INV000739,8,60.7,219,at-risk
INV000741,8,65.7,101,at-risk
INV000742,6,83.0,176,at-risk
INV000744,10,28.2,96,at-risk
INV000745,6,88.8,217,at-risk
INV000746,9,60.5,124,at-risk
INV000747,11,45.7,125,at-risk
INV000749,12,40.5,127,at-risk
INV000750,12,35.4,177,at-risk
INV000751,11,42.4,97,at-risk
INV000752,7,78.7,269,at-risk
INV000753,7,50.7,112,at-risk
INV000754,11,44.7,103,at-risk
INV000755,7,66.2,115,at-risk
INV000757,6,83.4,167,at-risk
INV000758,10,50.4,180,at-risk
INV000759,11,49.8,141,at-risk
INV000761,11,49.4,173,at-risk
INV000764,8,57.6,154,at-risk
INV000765,12,43.0,166,at-risk
INV000767,6,94.2,227,at-risk
INV000768,12,38.2,68,at-risk
INV000769,7,76.7,206,at-risk
INV000772,12,36.4,98,at-risk
INV000774,9,55.2,148,at-risk
INV000776,11,42.1,71,at-risk
INV000777,8,47.1,91,at-risk
INV000778,11,48.1,168,at-risk
INV000779,12,40.4,92,at-risk
INV000782,6,35.4,105,at-risk
INV000783,12,44.4,145,at-risk
INV000784,8,62.4,244,at-risk
INV000785,11,38.9,154,at-risk
INV000786,10,57.0,199,at-risk
INV000788,7,52.5,159,at-risk
INV000789,10,44.3,171,at-risk
INV000791,9,56.1,109,at-risk
INV000793,11,48.4,104,at-risk
INV000799,7,80.8,213,at-risk
INV000803,9,57.9,147,at-risk
INV000804,6,92.2,208,at-risk
INV000806,12,34.1,109,at-risk
INV000810,10,38.0,93,at-risk
INV000811,6,58.2,217,at-risk
INV000813,8,62.1,300,at-risk
INV000814,7,78.3,113,at-risk
INV000819,6,48.0,116,at-risk
INV000821,9,44.5,81,at-risk
INV000822,9,41.6,98,at-risk
INV000823,10,35.4,69,at-risk
INV000826,7,74.5,218,at-risk
INV000827,10,45.3,95,at-risk
INV000829,9,58.9,151,at-risk
INV000830,10,44.4,122,at-risk
INV000831,6,54.0,134,at-risk
INV000833,10,56.4,178,at-risk
INV000836,7,70.7,123,at-risk
INV000840,9,62.9,186,at-risk
INV000841,7,71.3,213,at-risk
INV000843,11,35.8,101,at-risk
INV000844,10,44.1,131,at-risk
INV000845,7,46.5,201,at-risk
INV000847,11,26.9,56,at-risk
INV000849,11,47.2,128,at-risk
INV000850,6,28.6,60,at-risk
INV000851,9,53.4,112,at-risk
INV000853,12,40.4,143,at-risk
INV000854,10,54.4,170,at-risk
INV000856,9,55.0,128,at-risk
INV000857,9,52.1,159,at-risk
INV000858,11,35.9,131,at-risk
INV000860,10,47.4,110,at-risk
INV000861,9,54.9,163,at-risk
INV000862,9,59.6,158,at-risk
INV000864,11,42.0,135,at-risk
INV000865,11,40.4,99,at-risk
INV000869,10,37.2,95,at-risk
INV000870,6,70.4,94,at-risk
INV000873,10,49.0,166,at-risk
INV000874,12,45.2,136,at-risk
INV000876,6,37.0,66,at-risk
INV000877,9,37.1,75,at-risk
INV000880,6,84.8,166,at-risk
INV000881,12,37.7,103,at-risk
INV000885,6,87.0,261,at-risk
INV000887,11,40.6,238,at-risk
INV000888,9,60.2,166,at-risk
INV000890,7,43.3,108,at-risk
INV000891,9,55.0,116,at-risk
INV000892,6,77.0,171,at-risk
INV000893,9,45.4,147,at-risk
INV000894,12,43.5,181,at-risk
INV000895,8,63.6,142,at-risk
INV000901,7,45.2,95,at-risk
INV000902,10,43.1,96,at-risk
INV000906,11,36.8,109,at-risk
INV000907,9,40.5,115,at-risk
INV000909,6,82.8,151,at-risk
INV000912,11,41.5,144,at-risk
INV000913,7,76.3,211,at-risk
INV000914,9,55.5,116,at-risk
INV000915,6,78.2,120,at-risk
INV000919,7,58.5,204,at-risk
INV000920,9,47.2,140,at-risk
INV000921,6,76.2,261,at-risk
INV000925,8,59.6,202,at-risk
INV000926,8,57.1,111,at-risk
INV000927,7,25.5,53,at-risk
INV000929,10,39.7,104,at-risk
INV000930,12,23.9,75,at-risk
INV000931,8,49.3,124,at-risk
INV000933,9,55.4,193,at-risk
INV000935,11,24.7,73,at-risk
INV000939,11,45.0,93,at-risk
INV000941,6,95.0,189,at-risk
INV000942,12,39.6,118,at-risk
INV000944,6,68.4,265,at-risk
INV000946,6,60.0,117,at-risk
INV000947,8,64.3,221,at-risk
INV000949,11,40.5,120,at-risk
INV000950,11,48.6,189,at-risk
INV000954,10,56.3,116,at-risk
INV000957,8,52.6,122,at-risk
INV000958,6,90.6,208,at-risk
INV000959,9,45.1,163,at-risk
INV000960,9,60.9,150,at-risk
INV000962,8,57.6,133,at-risk
INV000966,12,39.2,106,at-risk
INV000968,9,48.6,286,at-risk
INV000969,10,48.3,179,at-risk
INV000970,6,45.4,104,at-risk
INV000971,12,36.0,115,at-risk
INV000972,11,38.1,107,at-risk
INV000974,8,63.0,131,at-risk
INV000977,12,39.9,137,at-risk
INV000978,7,46.8,95,at-risk
INV000979,8,59.4,115,at-risk
INV000980,10,36.8,121,at-risk
INV000981,11,30.4,52,at-risk
INV000984,9,44.5,88,at-risk
INV000985,6,73.2,147,at-risk
INV000986,9,45.6,182,at-risk
INV000988,8,66.7,140,at-risk
INV000989,7,83.0,269,at-risk
INV000992,6,83.2,240,at-risk
INV000994,12,40.2,161,at-risk
INV000995,9,21.9,60,at-risk
INV000997,8,55.1,131,at-risk
INV000999,8,47.1,145,at-risk
INV001001,12,40.5,137,at-risk
INV001002,10,46.4,103,at-risk
INV001005,11,46.8,117,at-risk
INV001006,6,93.0,233,at-risk
INV001008,9,48.6,191,at-risk
INV001009,10,42.3,125,at-risk
INV001011,6,99.4,234,at-risk
INV001012,6,32.4,102,at-risk
INV001013,10,53.8,112,at-risk
INV001014,7,77.7,182,at-risk
INV001015,6,36.0,77,at-risk
INV001017,7,68.5,142,at-risk
INV001019,11,35.9,160,at-risk
INV001020,7,53.8,156,at-risk
INV001021,10,45.8,186,at-risk
INV001023,12,46.1,155,at-risk
INV001024,8,51.3,162,at-risk
INV001025,8,32.6,76,at-risk
INV001026,11,47.8,132,at-risk
INV001027,8,70.6,149,at-risk
INV001029,11,46.9,158,at-risk
INV001031,11,48.2,167,at-risk
INV001034,7,69.2,119,at-risk
INV001036,10,54.7,123,at-risk
INV001037,11,42.6,86,at-risk
INV001039,9,47.9,187,at-risk
INV001041,8,71.1,159,at-risk
INV001042,7,49.5,105,at-risk
INV001043,8,71.0,235,at-risk
INV001045,8,71.1,191,at-risk
INV001047,10,55.7,142,at-risk
INV001048,12,35.3,75,at-risk
INV001049,7,69.7,177,at-risk
INV001051,11,37.9,127,at-risk
INV001053,10,51.7,116,at-risk
INV001055,10,51.8,166,at-risk
INV001058,12,44.8,114,at-risk
INV001060,12,38.8,89,at-risk
INV001061,11,40.9,104,at-risk
INV001062,7,52.5,146,at-risk
INV001063,12,30.7,68,at-risk
INV001064,12,43.3,133,at-risk
INV001067,10,41.7,112,at-risk
INV001068,6,99.2,261,at-risk
INV001069,11,35.2,98,at-risk
INV001070,12,44.1,304,at-risk
INV001074,8,44.7,119,at-risk
INV001075,7,51.0,105,at-risk
INV001077,8,53.4,149,at-risk
INV001079,11,46.1,144,at-risk
INV001080,8,52.1,126,at-risk
INV001081,6,79.0,278,at-risk
INV001083,9,43.2,115,at-risk
INV001087,7,63.5,175,at-risk
INV001088,7,74.3,229,at-risk
INV001091,6,71.8,138,at-risk
INV001092,12,42.2,165,at-risk
INV001093,9,57.9,134,at-risk
INV001094,7,77.5,145,at-risk
INV001096,10,51.9,189,at-risk
INV001099,11,31.9,107,at-risk
INV001101,6,85.4,189,at-risk
INV001102,10,50.7,124,at-risk
INV001103,8,47.6,104,at-risk
INV001109,6,90.4,203,at-risk
INV001111,6,96.6,157,at-risk
INV001112,6,40.0,66,at-risk
INV001113,7,48.5,151,at-risk
INV001115,10,45.8,230,at-risk
INV001116,12,42.3,194,at-risk
INV001117,9,54.0,137,at-risk
INV001118,10,49.0,137,at-risk
INV001123,9,56.8,116,at-risk
INV001124,7,79.7,138,at-risk
INV001128,11,44.2,103,at-risk
INV001130,11,46.6,131,at-risk
INV001131,10,53.9,141,at-risk
INV001133,6,41.6,78,at-risk
INV001137,11,34.3,79,at-risk
INV001138,9,50.5,82,at-risk
INV001140,8,56.6,125,at-risk
INV001141,8,69.7,132,at-risk
INV001142,9,49.5,106,at-risk
INV001144,6,64.4,173,at-risk
INV001152,6,46.6,122,at-risk
INV001155,8,69.1,196,at-risk
INV001156,10,56.9,160,at-risk
INV001157,12,33.6,97,at-risk
INV001160,9,52.8,99,at-risk
INV001161,8,57.6,133,at-risk
INV001163,12,43.5,146,at-risk
INV001165,7,57.5,103,at-risk
INV001166,9,54.0,148,at-risk
INV001167,6,96.2,207,at-risk
INV001168,7,76.2,161,at-risk
INV001170,9,49.1,119,at-risk
INV001173,7,55.8,146,at-risk
INV001174,9,58.8,115,at-risk
INV001175,7,78.7,116,at-risk
INV001178,12,43.5,83,at-risk
INV001180,8,61.9,112,at-risk
INV001181,9,59.0,118,at-risk
INV001182,6,71.0,153,at-risk
INV001183,6,55.8,145,at-risk
INV001185,9,50.1,101,at-risk
INV001186,8,44.6,118,at-risk
INV001189,8,46.6,71,at-risk
INV001190,7,80.8,198,at-risk
INV001192,6,81.4,143,at-risk
INV001195,12,34.3,154,at-risk
INV001196,6,92.2,169,at-risk
INV001197,9,49.9,140,at-risk
INV001198,11,48.4,123,at-risk
INV001202,9,50.8,103,at-risk
INV001204,7,75.8,165,at-risk
INV001206,12,38.0,116,at-risk
INV001207,7,50.8,166,at-risk
INV001208,10,37.3,94,at-risk
INV001210,12,26.8,93,at-risk
INV001212,8,45.1,119,at-risk
INV001213,10,53.9,120,at-risk
INV001215,6,97.0,293,at-risk
INV001217,12,39.1,148,at-risk
INV001218,9,49.2,139,at-risk
INV001219,11,36.9,118,at-risk
INV001220,9,57.9,104,at-risk
INV001221,8,64.6,172,at-risk
INV001222,6,68.6,189,at-risk
INV001223,11,42.5,94,at-risk
INV001224,8,40.6,103,at-risk
INV001225,9,53.1,125,at-risk
INV001227,11,39.7,104,at-risk
INV001228,12,43.2,140,at-risk
INV001232,6,87.8,184,at-risk
INV001233,7,55.5,135,at-risk
INV001234,12,40.7,119,at-risk
INV001235,11,47.2,100,at-risk
INV001236,7,73.3,153,at-risk
INV001237,7,81.7,182,at-risk
INV001238,12,37.4,150,at-risk
INV001241,6,33.0,76,at-risk
INV001242,10,47.3,93,at-risk
INV001244,6,34.2,77,at-risk
INV001246,6,80.0,184,at-risk
INV001247,7,44.3,139,at-risk
INV001249,6,71.6,105,at-risk
INV001250,6,82.2,181,at-risk
INV001251,9,54.2,223,at-risk
INV001255,6,70.8,161,at-risk
INV001257,10,52.4,166,at-risk
INV001259,12,43.8,213,at-risk
INV001260,7,68.3,163,at-risk
INV001261,7,55.5,89,at-risk
INV001262,8,50.9,116,at-risk
INV001264,8,44.9,87,at-risk
